ID,ID_orig,Name,Phase,Type,Subtype,Collection,Tracing,East,North,Region,SurvReg,Reg
3622,1518,Tl. 10,,Structure,Tlatel,TRUE,Strip_I_Map_1b,510433.505,2163437.158,Texcoco I,TX,TX-I
2678,1534,Tl. 100,,Structure,Tlatel,TRUE,Strip_II_1_e,517701.219,2157398.401,Texcoco II,TX,TX-II
3728,1484,Tl. 103,,Structure,Tlatel,TRUE,Strip_I_Map_1a,516555.8065,2162320.06,Texcoco I,TX,TX-I
3728,1484,Tl. 103,,Structure,Tlatel,TRUE,Strip_I_Map_1a,516555.8065,2162320.06,Texcoco I,TX,TX-I
2742,1582,Tl. 104,,Structure,Tlatel,TRUE,Strip_II_(east),518414.786,2155862.009,Texcoco II,TX,TX-II
3627,1434,Tl. 105,,Structure,Tlatel,TRUE,Strip_I_Map_1a,516358.013,2162416.669,Texcoco I,TX,TX-I
3627,1434,Tl. 105,,Structure,Tlatel,TRUE,Strip_I_Map_1a,516358.013,2162416.669,Texcoco I,TX,TX-I
2859,1533,Tl. 106,,Structure,Tlatel,TRUE,Strip_II_1_e,517749.883,2157726.936,Texcoco II,TX,TX-II
2746,1535,Tl. 109,,Structure,Tlatel,TRUE,Strip_II_1_e,518065.524,2157785.668,Texcoco II,TX,TX-II
2824,1394,Tl. 11,,Structure,Tlatel,TRUE,Strip_III_Map_B,506606.879,2146312.99,Texcoco III,TX,TX-III
3710,1435,Tl. 111,,Structure,Tlatel,TRUE,Strip_I_Map_1a,516740.0465,2163084.048,Texcoco I,TX,TX-I
3710,1435,Tl. 111,,Structure,Tlatel,TRUE,Strip_I_Map_1a,516740.0465,2163084.048,Texcoco I,TX,TX-I
3933,1366,Tl. 111,,Structure,Tlatel,TRUE,Strip_III_Map_B,509674.2695,2144645.146,Texcoco III,TX,TX-III
2337,1581,Tl. 112,,Structure,Tlatel,TRUE,Strip_II_(east),518786.532,2155600.682,Texcoco II,TX,TX-II
3872,1703,Tl. 114,,Structure,Tlatel,TRUE,Strip_III_Map_D,510786.0465,2144447.941,Texcoco III,TX,TX-III
2269,1481,Tl. 115,,Structure,Tlatel,TRUE,Strip_I_Map_1a,516883.916,2163329,Texcoco I,TX,TX-I
